2022-08-20 07:54:03.502  INFO [,,] 9956 --- [restartedMain] c.c.PensionManagementPortalApplication   : Starting PensionManagementPortalApplication using Java 1.8.0_181 on LTIN264352 with PID 9956 (C:\Workspace\microservices\Pension-Management-Portal-Microservice\target\classes started by 889068 in C:\Workspace\microservices\Pension-Management-Portal-Microservice)
2022-08-20 08:02:40.205 ERROR [,4577cebaf6e3876c,4577cebaf6e3876c] 9956 --- [http-nio-9085-exec-6] c.c.controller.PensionController         : EXCEPTION - getPensionDetail
2022-08-20 08:02:40.207  WARN [,4577cebaf6e3876c,4577cebaf6e3876c] 9956 --- [http-nio-9085-exec-6] .w.s.m.a.ResponseStatusExceptionResolver : Resolved [com.cognizant.exception.ResourceNotFoundException: Aadhar Number not found]
2022-08-20 08:02:40.383  INFO [,3733cad88befc8fa,3733cad88befc8fa] 9956 --- [http-nio-9085-exec-7] c.c.controller.PensionController         : STARTED - getPensionDetail
2022-08-20 08:02:40.520 ERROR [,3733cad88befc8fa,3733cad88befc8fa] 9956 --- [http-nio-9085-exec-7] c.c.controller.PensionController         : EXCEPTION - getPensionDetail
2022-08-20 08:02:40.523  WARN [,3733cad88befc8fa,3733cad88befc8fa] 9956 --- [http-nio-9085-exec-7] .w.s.m.a.ResponseStatusExceptionResolver : Resolved [com.cognizant.exception.ResourceNotFoundException: Aadhar Number not found]
2022-08-20 08:02:51.083  INFO [,dcc5cd02621ae2a8,dcc5cd02621ae2a8] 9956 --- [http-nio-9085-exec-8] c.c.controller.PensionController         : STARTED - getPensionDetail
2022-08-20 08:02:51.264  WARN [,dcc5cd02621ae2a8,dcc5cd02621ae2a8] 9956 --- [http-nio-9085-exec-8] .w.s.m.a.ResponseStatusExceptionResolver : Resolved [com.cognizant.exception.ResourceNotFoundException: Pensioner details list not found]
2022-08-20 08:02:51.374  INFO [,e04289ee58c7205a,e04289ee58c7205a] 9956 --- [http-nio-9085-exec-9] c.c.controller.PensionController         : STARTED - getPensionDetail
2022-08-20 08:02:51.506  WARN [,e04289ee58c7205a,e04289ee58c7205a] 9956 --- [http-nio-9085-exec-9] .w.s.m.a.ResponseStatusExceptionResolver : Resolved [com.cognizant.exception.ResourceNotFoundException: Pensioner details list not found]
2022-08-20 08:08:59.699  INFO [,b1b95aa4baa6756b,b1b95aa4baa6756b] 9956 --- [http-nio-9085-exec-2] c.c.controller.PensionController         : STARTED - getPensionDetail
2022-08-20 08:08:59.849  WARN [,b1b95aa4baa6756b,b1b95aa4baa6756b] 9956 --- [http-nio-9085-exec-2] .w.s.m.a.ResponseStatusExceptionResolver : Resolved [com.cognizant.exception.ResourceNotFoundException: Pensioner details list not found]
2022-08-20 08:09:00.023  INFO [,6b31014ed33ddec2,6b31014ed33ddec2] 9956 --- [http-nio-9085-exec-4] c.c.controller.PensionController         : STARTED - getPensionDetail
2022-08-20 08:09:00.175  WARN [,6b31014ed33ddec2,6b31014ed33ddec2] 9956 --- [http-nio-9085-exec-4] .w.s.m.a.ResponseStatusExceptionResolver : Resolved [com.cognizant.exception.ResourceNotFoundException: Pensioner details list not found]
2022-08-20 08:30:09.303  INFO [,d2bd9bb18c5762e6,d2bd9bb18c5762e6] 9956 --- [http-nio-9085-exec-5] c.c.controller.PensionController         : STARTED - getPensionDetail
2022-08-20 08:30:09.397  WARN [,d2bd9bb18c5762e6,d2bd9bb18c5762e6] 9956 --- [http-nio-9085-exec-5] .w.s.m.a.ResponseStatusExceptionResolver : Resolved [com.cognizant.exception.ResourceNotFoundException: Pensioner details list not found]
2022-08-20 08:30:09.494  INFO [,ae5d0d3223e6dc52,ae5d0d3223e6dc52] 9956 --- [http-nio-9085-exec-6] c.c.controller.PensionController         : STARTED - getPensionDetail
2022-08-20 08:30:09.574  WARN [,ae5d0d3223e6dc52,ae5d0d3223e6dc52] 9956 --- [http-nio-9085-exec-6] .w.s.m.a.ResponseStatusExceptionResolver : Resolved [com.cognizant.exception.ResourceNotFoundException: Pensioner details list not found]
2022-08-20 10:46:15.875  INFO [,2d57489f52b0bcfa,2d57489f52b0bcfa] 9956 --- [http-nio-9085-exec-9] c.c.controller.PensionController         : STARTED - doLogin
2022-08-20 10:46:15.911  INFO [,2d57489f52b0bcfa,2d57489f52b0bcfa] 9956 --- [http-nio-9085-exec-9] c.c.controller.PensionController         : GENERATED - Token - eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJJZnRhayIsImV4cCI6MTY2MTAwODU3NSwiaWF0IjoxNjYwOTcyNTc1fQ.3SJyHYvHArSp12rItDQoGimB8WBLp-QGdh9svdSXzlc
2022-08-20 10:46:15.912  INFO [,2d57489f52b0bcfa,2d57489f52b0bcfa] 9956 --- [http-nio-9085-exec-9] c.c.controller.PensionController         : END - doLogin
2022-08-20 10:46:16.029  INFO [,9991ee2584618b38,9991ee2584618b38] 9956 --- [http-nio-9085-exec-1] c.c.controller.PensionController         : STARTED - allDetail
2022-08-20 10:46:16.193  INFO [,9991ee2584618b38,9991ee2584618b38] 9956 --- [http-nio-9085-exec-1] c.c.controller.PensionController         : END - allDetail
2022-08-20 10:46:21.839  INFO [,76ca88ed3d20f3cf,76ca88ed3d20f3cf] 9956 --- [http-nio-9085-exec-2] c.c.controller.PensionController         : STARTED - allDetail
2022-08-20 10:46:21.919  INFO [,76ca88ed3d20f3cf,76ca88ed3d20f3cf] 9956 --- [http-nio-9085-exec-2] c.c.controller.PensionController         : END - allDetail
2022-08-20 10:47:44.962  INFO [,,] 3216 --- [restartedMain] c.c.PensionManagementPortalApplication   : Starting PensionManagementPortalApplication using Java 1.8.0_181 on LTIN264352 with PID 3216 (C:\Workspace\microservices\Pension-Management-Portal-Microservice\target\classes started by 889068 in C:\Workspace\microservices\Pension-Management-Portal-Microservice)
2022-08-20 10:47:44.973  INFO [,,] 3216 --- [restartedMain] c.c.PensionManagementPortalApplication   : No active profile set, falling back to default profiles: default
2022-08-20 10:47:45.223  INFO [,,] 3216 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2022-08-20 10:47:45.223  INFO [,,] 3216 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2022-08-20 10:47:48.723  INFO [,,] 3216 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2022-08-20 10:47:48.764  INFO [,,] 3216 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 22 ms. Found 0 JPA repository interfaces.
2022-08-20 10:47:49.486  INFO [,,] 3216 --- [restartedMain] o.s.cloud.context.scope.GenericScope     : BeanFactory id=b6efebc2-bb64-3a73-b714-eba9624e96b9
2022-08-20 10:47:51.893  INFO [,,] 3216 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 9085 (http)
2022-08-20 10:47:52.010  INFO [,,] 3216 --- [restartedMain] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2022-08-20 10:47:52.010  INFO [,,] 3216 --- [restartedMain] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.50]
2022-08-20 10:47:52.262  INFO [,,] 3216 --- [restartedMain] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2022-08-20 10:47:52.262  INFO [,,] 3216 --- [restartedMain] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 7037 ms
2022-08-20 10:47:52.409  INFO [,,] 3216 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
2022-08-20 10:47:52.946  INFO [,,] 3216 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Start completed.
2022-08-20 10:47:52.967  INFO [,,] 3216 --- [restartedMain] o.s.b.a.h2.H2ConsoleAutoConfiguration    : H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:b6de1733-e0ce-4b21-bf7c-d44bebfb8340'
2022-08-20 10:47:54.592  INFO [,,] 3216 --- [restartedMain] o.hibernate.jpa.internal.util.LogHelper  : HHH000204: Processing PersistenceUnitInfo [name: default]
2022-08-20 10:47:54.769  INFO [,,] 3216 --- [restartedMain] org.hibernate.Version                    : HHH000412: Hibernate ORM core version 5.4.32.Final
2022-08-20 10:47:55.157  INFO [,,] 3216 --- [restartedMain] o.hibernate.annotations.common.Version   : HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2022-08-20 10:47:55.483  INFO [,,] 3216 --- [restartedMain] org.hibernate.dialect.Dialect            : HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2022-08-20 10:47:57.121  INFO [,,] 3216 --- [restartedMain] o.h.e.t.j.p.i.JtaPlatformInitiator       : HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2022-08-20 10:47:57.146  INFO [,,] 3216 --- [restartedMain] j.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default'
2022-08-20 10:47:57.252  WARN [,,] 3216 --- [restartedMain] o.s.b.d.a.OptionalLiveReloadServer       : Unable to start LiveReload server
2022-08-20 10:47:58.025  WARN [,,] 3216 --- [restartedMain] JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2022-08-20 10:48:03.873  INFO [,,] 3216 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 9085 (http) with context path ''
2022-08-20 10:48:04.610  INFO [,,] 3216 --- [restartedMain] d.s.w.p.DocumentationPluginsBootstrapper : Context refreshed
2022-08-20 10:48:04.662  INFO [,,] 3216 --- [restartedMain] d.s.w.p.DocumentationPluginsBootstrapper : Found 1 custom documentation plugin(s)
2022-08-20 10:48:04.689  INFO [,,] 3216 --- [restartedMain] s.d.s.w.s.ApiListingReferenceScanner     : Scanning for api listing references
2022-08-20 10:48:05.107  INFO [,,] 3216 --- [restartedMain] c.c.PensionManagementPortalApplication   : Started PensionManagementPortalApplication in 22.801 seconds (JVM running for 25.107)
2022-08-20 10:48:12.186  INFO [,,] 3216 --- [http-nio-9085-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-08-20 10:48:12.189  INFO [,,] 3216 --- [http-nio-9085-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2022-08-20 10:48:12.193  INFO [,,] 3216 --- [http-nio-9085-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 4 ms
2022-08-20 10:48:12.633  INFO [,7734524cd2f27452,7734524cd2f27452] 3216 --- [http-nio-9085-exec-1] c.c.controller.PensionController         : STARTED - allDetail
2022-08-20 10:48:12.932  INFO [,7734524cd2f27452,7734524cd2f27452] 3216 --- [http-nio-9085-exec-1] c.c.controller.PensionController         : END - allDetail
2022-08-20 11:02:20.727  INFO [,25f2068458bb6a6d,25f2068458bb6a6d] 3216 --- [http-nio-9085-exec-5] c.c.controller.PensionController         : STARTED - getPensionDetail
2022-08-20 11:02:20.793  INFO [,25f2068458bb6a6d,25f2068458bb6a6d] 3216 --- [http-nio-9085-exec-5] c.c.controller.PensionController         : END - getPensionDetail
2022-08-20 11:02:26.863  INFO [,67f7c7ecdd3de784,67f7c7ecdd3de784] 3216 --- [http-nio-9085-exec-8] c.c.controller.PensionController         : STARTED - getPensionDetail
2022-08-20 11:02:26.918  INFO [,67f7c7ecdd3de784,67f7c7ecdd3de784] 3216 --- [http-nio-9085-exec-8] c.c.controller.PensionController         : END - getPensionDetail
2022-08-20 11:02:29.021  INFO [,2a1e25e8c96a056f,2a1e25e8c96a056f] 3216 --- [http-nio-9085-exec-9] c.c.controller.PensionController         : STARTED - getPensionDetail
2022-08-20 11:02:29.054  INFO [,2a1e25e8c96a056f,2a1e25e8c96a056f] 3216 --- [http-nio-9085-exec-9] c.c.controller.PensionController         : END - getPensionDetail
2022-08-20 11:02:34.806  INFO [,08e103458611dc44,08e103458611dc44] 3216 --- [http-nio-9085-exec-6] c.c.controller.PensionController         : STARTED - getPensionDetail
2022-08-20 11:02:34.872 ERROR [,08e103458611dc44,08e103458611dc44] 3216 --- [http-nio-9085-exec-6] c.c.controller.PensionController         : EXCEPTION - getPensionDetail
2022-08-20 11:02:34.878  WARN [,08e103458611dc44,08e103458611dc44] 3216 --- [http-nio-9085-exec-6] .w.s.m.a.ResponseStatusExceptionResolver : Resolved [com.cognizant.exception.ResourceNotFoundException: Aadhar Number not found]
2022-08-20 11:02:34.967  INFO [,d87449f08fc4715d,d87449f08fc4715d] 3216 --- [http-nio-9085-exec-7] c.c.controller.PensionController         : STARTED - getPensionDetail
2022-08-20 11:02:35.011 ERROR [,d87449f08fc4715d,d87449f08fc4715d] 3216 --- [http-nio-9085-exec-7] c.c.controller.PensionController         : EXCEPTION - getPensionDetail
2022-08-20 11:02:35.013  WARN [,d87449f08fc4715d,d87449f08fc4715d] 3216 --- [http-nio-9085-exec-7] .w.s.m.a.ResponseStatusExceptionResolver : Resolved [com.cognizant.exception.ResourceNotFoundException: Aadhar Number not found]
2022-08-20 11:02:38.849  INFO [,c00c255798a61621,c00c255798a61621] 3216 --- [http-nio-9085-exec-10] c.c.controller.PensionController         : STARTED - getPensionDetail
2022-08-20 11:02:38.912  WARN [,c00c255798a61621,c00c255798a61621] 3216 --- [http-nio-9085-exec-10] .w.s.m.a.ResponseStatusExceptionResolver : Resolved [com.cognizant.exception.ResourceNotFoundException: Pensioner details list not found]
2022-08-20 11:02:38.966  INFO [,276cc6c5ea540c4a,276cc6c5ea540c4a] 3216 --- [http-nio-9085-exec-1] c.c.controller.PensionController         : STARTED - getPensionDetail
2022-08-20 11:02:39.011  WARN [,276cc6c5ea540c4a,276cc6c5ea540c4a] 3216 --- [http-nio-9085-exec-1] .w.s.m.a.ResponseStatusExceptionResolver : Resolved [com.cognizant.exception.ResourceNotFoundException: Pensioner details list not found]
2022-08-20 11:03:25.319  INFO [,,] 3216 --- [Thread-1] j.LocalContainerEntityManagerFactoryBean : Closing JPA EntityManagerFactory for persistence unit 'default'
2022-08-20 11:03:25.320  INFO [,,] 3216 --- [Thread-1] .SchemaDropperImpl$DelayedDropActionImpl : HHH000477: Starting delayed evictData of schema as part of SessionFactory shut-down'
2022-08-20 11:03:25.559  WARN [,,] 3216 --- [Thread-1] o.s.b.f.support.DisposableBeanAdapter    : Invocation of destroy method failed on bean with name 'inMemoryDatabaseShutdownExecutor': org.h2.jdbc.JdbcSQLNonTransientConnectionException: Database is already closed (to disable automatic closing at VM shutdown, add ";DB_CLOSE_ON_EXIT=FALSE" to the db URL) [90121-200]
2022-08-20 11:03:25.561  INFO [,,] 3216 --- [Thread-1] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Shutdown initiated...
2022-08-20 11:03:25.566  INFO [,,] 3216 --- [Thread-1] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Shutdown completed.
2022-08-20 11:03:26.523  INFO [,,] 3216 --- [restartedMain] c.c.PensionManagementPortalApplication   : Starting PensionManagementPortalApplication using Java 1.8.0_181 on LTIN264352 with PID 3216 (C:\Workspace\microservices\Pension-Management-Portal-Microservice\target\classes started by 889068 in C:\Workspace\microservices\Pension-Management-Portal-Microservice)
2022-08-20 11:03:26.524  INFO [,,] 3216 --- [restartedMain] c.c.PensionManagementPortalApplication   : No active profile set, falling back to default profiles: default
2022-08-20 11:03:27.635  INFO [,,] 3216 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2022-08-20 11:03:27.651  INFO [,,] 3216 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 14 ms. Found 0 JPA repository interfaces.
2022-08-20 11:03:27.867  INFO [,,] 3216 --- [restartedMain] o.s.cloud.context.scope.GenericScope     : BeanFactory id=b6efebc2-bb64-3a73-b714-eba9624e96b9
2022-08-20 11:03:28.406  INFO [,,] 3216 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 9085 (http)
2022-08-20 11:03:28.407  INFO [,,] 3216 --- [restartedMain] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2022-08-20 11:03:28.408  INFO [,,] 3216 --- [restartedMain] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.50]
2022-08-20 11:03:28.464  INFO [,,] 3216 --- [restartedMain] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2022-08-20 11:03:28.464  INFO [,,] 3216 --- [restartedMain] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 1933 ms
2022-08-20 11:03:28.544  INFO [,,] 3216 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-2 - Starting...
2022-08-20 11:03:28.549  INFO [,,] 3216 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-2 - Start completed.
2022-08-20 11:03:28.550  INFO [,,] 3216 --- [restartedMain] o.s.b.a.h2.H2ConsoleAutoConfiguration    : H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:299afb8b-0630-4583-9950-26645fc398c5'
2022-08-20 11:03:29.084  INFO [,,] 3216 --- [restartedMain] o.hibernate.jpa.internal.util.LogHelper  : HHH000204: Processing PersistenceUnitInfo [name: default]
2022-08-20 11:03:29.101  INFO [,,] 3216 --- [restartedMain] org.hibernate.dialect.Dialect            : HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2022-08-20 11:03:29.177  INFO [,,] 3216 --- [restartedMain] o.h.e.t.j.p.i.JtaPlatformInitiator       : HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2022-08-20 11:03:29.178  INFO [,,] 3216 --- [restartedMain] j.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default'
2022-08-20 11:03:29.233  WARN [,,] 3216 --- [restartedMain] o.s.b.d.a.OptionalLiveReloadServer       : Unable to start LiveReload server
